tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-05-29,84.0,31.0,21.0,118.0,20.0,118.0,O3,TIDAK SEHAT,DKI5
2018-05-30,86.0,25.0,24.0,191.0,20.0,191.0,O3,TIDAK SEHAT,DKI5
2018-05-31,83.0,28.0,21.0,183.0,20.0,183.0,O3,TIDAK SEHAT,DKI2
2018-06-01,75.0,27.0,30.0,115.0,15.0,115.0,O3,TIDAK SEHAT,DKI5
2018-06-02,78.0,26.0,14.0,86.0,18.0,86.0,O3,SEDANG,DKI5
2018-06-03,82.0,26.0,16.0,145.0,17.0,145.0,O3,TIDAK SEHAT,DKI5
2018-06-04,73.0,27.0,11.0,125.0,19.0,125.0,O3,TIDAK SEHAT,DKI5
2018-06-05,69.0,26.0,13.0,146.0,14.0,146.0,O3,TIDAK SEHAT,DKI5
2018-06-06,78.0,26.0,16.0,133.0,13.0,133.0,O3,TIDAK SEHAT,DKI5
2018-06-07,79.0,25.0,21.0,179.0,18.0,179.0,O3,TIDAK SEHAT,DKI5
2018-06-08,68.0,27.0,16.0,162.0,17.0,162.0,O3,TIDAK SEHAT,DKI5
2018-06-09,100.0,27.0,39.0,167.0,22.0,167.0,O3,TIDAK SEHAT,DKI5
2018-06-10,75.0,27.0,28.0,203.0,17.0,203.0,O3,SANGAT TIDAK SEHAT,DKI2
2018-06-11,74.0,27.0,14.0,169.0,14.0,169.0,O3,TIDAK SEHAT,DKI2
2018-06-12,67.0,26.0,18.0,161.0,13.0,161.0,O3,TIDAK SEHAT,DKI2
2018-06-13,64.0,25.0,30.0,163.0,16.0,163.0,O3,TIDAK SEHAT,DKI5
2018-06-14,56.0,25.0,18.0,144.0,7.0,144.0,O3,TIDAK SEHAT,DKI5
2018-06-15,60.0,26.0,21.0,161.0,8.0,161.0,O3,TIDAK SEHAT,DKI2
2018-06-16,61.0,37.0,31.0,139.0,17.0,139.0,O3,TIDAK SEHAT,DKI2
2018-06-17,49.0,27.0,11.0,88.0,8.0,88.0,O3,SEDANG,DKI5
2018-06-18,51.0,27.0,10.0,75.0,10.0,75.0,O3,SEDANG,DKI5
2018-06-19,60.0,26.0,13.0,97.0,10.0,97.0,O3,SEDANG,DKI5
